net,length_um
initial_freq[25],12.02µm
initial_freq[26],12.02µm
initial_freq[28],12.02µm
initial_freq[29],12.02µm
_0327_,11.98µm
initial_freq[12],11.92µm
_0341_,11.9µm
_0612_,11.9µm
_0722_,11.89µm
_0164_,11.88µm
_0871_,11.88µm
_0977_,11.84µm
initial_freq[22],11.79µm
net270,11.74µm
_0344_,11.7µm
_0646_,11.7µm
_0680_,11.7µm
_0877_,11.7µm
_1009_,11.66µm
_0289_,11.64µm
_0972_,11.62µm
_0506_,11.6µm
_0905_,11.6µm
_0405_,11.585µm
net133,11.54µm
_0785_,11.51µm
div_val[4],11.51µm
_0170_,11.5µm
_0604_,11.48µm
_0273_,11.46µm
_0902_,11.44µm
net27,11.42µm
net336,11.42µm
initial_freq[21],11.41µm
_0482_,11.38µm
_0197_,11.32µm
_0705_,11.32µm
_0901_,11.32µm
_0271_,11.3µm
_0074_,11.285µm
_0825_,11.26µm
_0215_,11.24µm
_0315_,11.24µm
_0548_,11.24µm
_0153_,11.22µm
_0791_,11.2µm
_0407_,11.18µm
_0409_,11.18µm
_1028_,11.18µm
_1040_,11.16µm
dco_inst.accumulator\[18\],11.16µm
_0784_,11.14µm
_0761_,11.12µm
initial_freq[27],11.1µm
initial_freq[30],11.1µm
initial_freq[31],11.1µm
lf_inst.integrator\[2\],11.08µm
_0452_,11.04µm
_0780_,11.04µm
debug_dco_word[23],11µm
debug_dco_word[25],11µm
debug_dco_word[31],11µm
unlock_timer\[3\],11µm
pfd_inst.ref_sync\[1\],10.98µm
_0414_,10.96µm
_0797_,10.92µm
_0794_,10.84µm
dco_inst.accumulator\[11\],10.84µm
_0277_,10.82µm
_0308_,10.78µm
_0620_,10.78µm
_0700_,10.78µm
net58,10.78µm
initial_freq[10],10.77µm
_1048_,10.76µm
_0213_,10.74µm
_0579_,10.7µm
div_val[25],10.69µm
_0543_,10.58µm
_0526_,10.54µm
_0717_,10.54µm
debug_dco_word[24],10.54µm
debug_dco_word[26],10.54µm
debug_dco_word[27],10.54µm
debug_dco_word[28],10.54µm
debug_dco_word[29],10.54µm
debug_dco_word[30],10.54µm
_0458_,10.5µm
dco_inst.accumulator\[14\],10.48µm
_0429_,10.46µm
_0826_,10.46µm
_0530_,10.44µm
_0268_,10.42µm
_0438_,10.42µm
_0493_,10.4µm
_0849_,10.4µm
_0684_,10.355µm
_0424_,10.34µm
net43,10.34µm
_0279_,10.32µm
_0998_,10.32µm
_0248_,10.3µm
_0913_,10.285µm
_0400_,10.28µm
_1026_,10.28µm
net186,10.27µm
_0953_,10.26µm
_0412_,10.2µm
_0529_,10.16µm
_0190_,10.12µm
_1033_,10.12µm
_0192_,10.115µm
_0239_,10.1µm
_0624_,10.1µm
