Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_56_45,VDD,Metal1,32.4800,239.1200,4.999991
FILLER_56_37,VDD,Metal1,30.1865,238.5430,4.999991
FILLER_56_34,VDD,Metal1,26.0400,239.1200,4.999991
FILLER_56_32,VDD,Metal1,25.2000,239.1200,4.999991
FILLER_56_28,VDD,Metal1,23.9000,238.6875,4.999991
FILLER_56_20,VDD,Metal1,20.6665,238.5430,4.999991
FILLER_55_419,VDD,Metal1,241.6400,231.2800,4.999977
FILLER_55_411,VDD,Metal1,239.6265,231.8565,4.999977
FILLER_55_379,VDD,Metal1,228.5955,232.0485,4.999979
FILLER_55_352,VDD,Metal1,204.4000,231.2800,4.999979
FILLER_55_349,VDD,Metal1,202.4400,231.2800,4.999979
FILLER_55_347,VDD,Metal1,201.6000,231.2800,4.999979
FILLER_55_343,VDD,Metal1,200.3000,231.7125,4.999980
FILLER_55_335,VDD,Metal1,197.0665,231.8565,4.999980
FILLER_55_322,VDD,Metal1,187.3200,231.2800,4.999981
FILLER_55_320,VDD,Metal1,186.4800,231.2800,4.999981
FILLER_55_316,VDD,Metal1,185.1800,231.7125,4.999981
FILLER_55_309,VDD,Metal1,180.3200,231.2800,4.999981
FILLER_55_298,VDD,Metal1,175.1000,231.7125,4.999981
FILLER_55_282,VDD,Metal1,169.7280,231.9720,4.999981
FILLER_55_279,VDD,Metal1,163.2400,231.2800,4.999983
FILLER_55_277,VDD,Metal1,162.4000,231.2800,4.999983
FILLER_55_261,VDD,Metal1,157.9680,231.9720,4.999982
FILLER_55_248,VDD,Metal1,145.8800,231.2800,4.999982
FILLER_55_246,VDD,Metal1,145.0400,231.2800,4.999982
FILLER_55_237,VDD,Metal1,140.9400,231.7125,4.999982
FILLER_55_209,VDD,Metal1,124.0400,231.2800,4.999985
FILLER_55_207,VDD,Metal1,123.2000,231.2800,4.999985
FILLER_55_199,VDD,Metal1,120.9065,231.8565,4.999985
FILLER_55_166,VDD,Metal1,101.1800,231.7125,4.999986
FILLER_55_158,VDD,Metal1,97.9465,231.8565,4.999986
FILLER_55_142,VDD,Metal1,91.3280,231.9720,4.999986
FILLER_55_138,VDD,Metal1,84.5600,231.2800,4.999986
FILLER_55_134,VDD,Metal1,83.2600,231.7125,4.999986
FILLER_55_126,VDD,Metal1,80.0265,231.8565,4.999986
FILLER_55_112,VDD,Metal1,72.1865,231.8565,4.999987
FILLER_55_80,VDD,Metal1,51.8000,231.2800,4.999989
